en;nl;fr;de;sv;pl;no
If either the feature margin, and/or the configuration model margin are applied, then the default margin percentage is not applied.;Als ofwel de feature marge en / of de configuratiemodelmarge worden toegepast, wordt het standaardmargepercentage niet toegepast.;Si la marge de la caractéristique et/ou la marge du modèle de configuration sont appliquées, le pourcentage de marge par défaut n'est pas appliqué.;Wenn entweder der Funktionsspielraum und/oder der Konfigurationsmodellspielraum angewendet werden, wird der standardmäßige Spielraumprozentsatz nicht angewendet.;Om funktionsmarginalen och/eller konfigurationsmodellmarginalen tillämpas, då kommer standardmarginalen inte att tillämpas.;Jeśli zostanie zastosowany cecha marży i/lub model konfiguracji marży, domyślna wartość procentowa marży nie zostanie zastosowana.;Hvis funksjonsmarginen og/eller marginen i konfigurasjonsmodellen brukes, brukes ikke standardmarginen.
Add;Toevoegen;Ajouter;Hinzufügen;Tillägg;Dodaj;Legg til
Enable this to display prices including VAT in order entry and the showroom.;Schakel dit in om prijzen inclusief btw weer te geven bij orderinvoer en de showroom.;Activez cette option pour afficher les prix incluant la TVA dans la saisie des commandes et dans le showroom.;Aktivieren Sie diese Option, um bei der Auftragserfassung und im Showroom Preise einschließlich Mehrwertsteuer anzuzeigen.;Slå på den här funktionen för att visa priser inkl. moms i orderingången och i showroomet.;Włącz tę opcję, aby wyświetlić ceny zawierające podatek VAT przy wprowadzaniu zamówień i showroom.;Aktiver dette for å vise priser inkludert moms i ordreregistrering og showroom. 
Database;Database;Base de données;Datenbank;Database;Baza danych;Database 
Table Presets;Tabelvoorinstellingen;Table Presets;Tabellenvoreinstellungen;Tabellinställningar;Ustawienia wstępne tabel;Forhændsinnstillinger for tabell 
Manage Prices;Beheer prijzen;Gérer les prix;Preise verwalten;Hantera priser;Zarządzaj cenami;Administre priser 
Step Editor;Stap Editor;Éditeur d'étapes;Schritt Editor;Step Editor;Edytor kroków;Rediger steg
Quotations;Offertes;Devis;Angebote;Offerter;Oferty ;Tilbud 
Templates;Templates;Modèles;Vorlagen;Mallar;Szablony;Maler 
Properties;Eigenschappen;Propriétés;Eigenschaften;Egenskaper;Właściwości;Egenskaper 
CRM Accounts;CRM Accounts;Comptes CRM;CRM-Kontos;CRM-konton;Konta CRM;CRM-kontoer 
Integrations;Integraties;Intégrations;Integrationen;Integrationer;Integracje;Integrasjoner 
Users;Gebruikers;Utilisateurs;Nutzer;Användare;Użytkownicy;Brukere 
Sub-organizations;Suborganisaties;Sous-organisations;Unterorganisationen;Suborganisationer;Spółki zależne;Underorganisasjoner 
Localization;Lokalisatie;Localisation;Lokalisierung;Lokalisering;Lokalizacja;Lokalisering 
Countries;Landen;Pays;Länder;Länder;Kraje;Land 
Currencies;Valuta's;Devises;Währungen;Valutor;Waluty;Valutaer 
Languages;Talen;Langues;Sprachen;Språk;Języki;Spræk 
Translations;Vertalingen;Traductions;Übersetzungen;Översättningar;Tłumaczenia;Oversettelser 
Settings;Instellingen;Paramètres;Einstellungen;Inställningar;Ustawienia ;Innstillinger
Configure;Configureren;Configurer;Konfigurieren;Konfigurera;Konfiguruj;Konfigurere 
Create quotation;Offerte aanmaken;Créer un devis;Angebot ertsellen;Skapa offert;Stwórz ofertę;Opprett tilbud 
Account settings;Account instellingen;Paramètres du compte;Konto-Einstellungen;Kontoinställningar;Ustawienia konta;Kontoinnstillinger 
Open changelog;Changelog openen;Ouvrir le journal des modifications;Änderungsprotokoll öffnen;Öppna changelog;Otwórz rejestr zmian; åpne endringslogg 
Logout;Uitloggen;Déconnexion;Ausloggen;Logga ut;Wyloguj;Logout 
Most configured products;Meest geconfigureerde producten;Produits les plus configurés;Die meist konfigurierten Produkte;Vanligaste konfigurerade produkter;Najczęściej konfigurowane produkty;Mest konfigurerte produkter 
Quotations created weekly;Wekelijks gemaakte offertes;Cotations créées chaque semaine;Wöchentlich erstellte Angebote;Offerter som skapades veckovis;Oferty stworzone w tygodniu;Tilbud som opprettes ukentlig 
News and updates;Nieuws en updates;Nouvelles et mises à jour;Neuigkeiten und Updates;Aktuella nyheter och uppdateringar;Nowości i aktualizacje;Nyheter og oppdateringer 
Add item;Item toevoegen;Ajouter un article;Artikel hinzufügen;Lägg till objekt;Dodaj element;Legg til element 
Enter configuration code;Voer configuratie code in;Entrez le code de configuration;Konfigurationscode eingeben;Ange konfigurationskod;Wprowadź kod konfiguracyjny;Angi konfigurasjonskode 
Next;Volgende;Suivant;weiter;Nästa;Dalej;Neste 
Previous;Vorige;Précédent;zurück;Föregående;Wstecz;Forrige
Description;Omschrijving;Description;Beschreibung;Beskrivning;Opis;Beskrivelse 
Customer Reference;Klantreferentie;Référence client;Kundenreferenz;Kundreferens;Referencje klienta;Referanse for kunder 
QTY;Hoeveelheid;QTÉ;Menge;ANTAL;Ilość;ANT.
Total Price;Totaalprijs;Prix total;Gesamtpreis;Totalt pris;Cena całkowita;Totalpris 
Prices do not include VAT;Prijzen zijn exclusief BTW;Les prix ne comprennent pas la TVA;Preise excl. MwSt;Priserna inkluderar inte moms;Ceny nie zawierają podatku VAT;Prisene inkluderer ikke mva. 
Create new quotation;Nieuwe offerte maken;Créer un nouveau devis;Neues Angebot erstellen;Skapa en ny offert;Stwórz nową ofertę;Opprett nytt tilbud 
Add new configuration;Nieuwe configuratie toevoegen;Ajouter une nouvelle configuration;Neue Konfiguration hinzufügen;Lägg till en ny konfiguration;Dodaj nową konfigurację;Legg til ny konfigurasjon 
Base Price;Basisprijs;Prix de base;Standardpreis;Grundpris;Cena podstawowa;Grunnpris 
Additional Price;Additionele prijs;Prix supplémentaire;Mehrpreis;Tilläggspris;Dodatkowa cena;Tilleggspris 
Prices include VAT;Prijzen zijn inclusief BTW;Les prix incluent la TVA;Preise incl. MwSt;Priserna inkluderar moms;Ceny zawierają VAT;Prisene inkluderer merverdiavgift 
Add to quotation;Voeg toe aan offerte;Ajouter au devis;An das Angebot zufügen;Lägg till i offert;Dodaj do oferty;Legg til i tilbud 
Switch configuration;Wijzig configuratie;Configuration du commutateur;Konfiguration ändern;Konfigurering av växlar;Zmień konfigurację;Bytt konfigurasjon 
Download import template;Import template downloaden;Télécharger le modèle d'importation;Importvorlage herunterladen;Ladda ner importmall;Pobierz szablon importu;Last ned importmal 
Import features;Features importeren;Importer des fonctionnalités;Funktionen importieren;Funktioner för import;Importowanie wyposażenia;Importer funksjoner 
Export selected features;Geselecteerde features exporteren;Exporter les fonctionnalités sélectionnées;Ausgewählte funktionen exportieren;Exportera utvalda funktioner;Eksportowanie wybranych obiektów;Eksportere valgte funksjoner 
feature(s) selected;feature(s) geselecteerd;Fonctionnalité(s) sélectionnée(s);Funktion(en) ausgewählt;vald(a) funktion(er);Wybrany/e obiekt/y;Funksjon(er) valgt 
Delete selected features;Verwijder geselecteerde features;Supprimer les caractéristiques sélectionnées;Entferne ausgewählte Funktionen;Ta bort valda funktioner;Usuń wybrane obiekty;Slette valgte funksjoner 
Duplicate selected features;Dupliceer geselecteerde features;Dupliquer les caractéristiques sélectionnées;Dupliziere ausgewählte Funktionen;Duplicera utvalda funktioner;Duplikuj wybrane obiekty;Duplisere valgte funksjoner 
Add property;Eigenschap toevoegen;Ajouter une propriété;Eigenschaft hinzufügen;Lägg till egenskap;Dodaj obiekt;Legg til egenskap 
There are no categories.;Er zijn geen categorieën.;Il n'y a pas de catégories.;Keine Kategorien vorhanden;Det finns inga kategorier.;Nie ma kategorii;Det finnes ingen kategorier. 
Values;Waarden;Valeurs;Werte;Värden;Wartości;Verdier 
Minimum value;Minimum waarde;Valeur minimale;Mindestwert;Minsta värde;Wartość minimalna;Minimumsverdi 
Specify the minimum amount that can be entered as quantity.;Geef de minimale waarde op dat als hoeveelheid kan worden ingevoerd.;Indiquez le montant minimum qui peut être saisi comme quantité.;Geben Sie den Mindestwert an, der als eine Menge eingeführt werden kann.;Ange det minsta värde som kan anges som kvantitet.;;Angi minimumsbeløpet som kan angis som antall. 
Maximum value;Maximum waarde;Valeur maximale;Höchstwert;Högsta värdet;Wartość maksymalna;Maksimumsverdi
Specify the maximum amount that can be entered as quantity.;Geef de maximale waarde op dat als hoeveelheid kan worden ingevoerd.;Indiquez le montant maximal qui peut être saisi comme quantité.;Geben Sie den Höchstwert an, der als eine Menge eingeführt werden kann.;Ange det högsta belopp som kan anges som kvantitet.;Określ maksymalną kwotę, którą można wprowadzić jako ilość.;Angi maksimumsbeløpet som kan angis som kvantitet.
Packing unit;Packing unit;Unité d'emballage;Packeinheit;Förpackningsenhet;Jednostka opakowania;Forpakningsenhet 
Specify the amount for rounding up on the material list.;Specificeer de hoeveelheid voor afronding op de materiaallijst.;Spécifiez la quantité à arrondir sur la liste d'articles.;Geben Sie die Menge für die Abrundung in der Stückliste an.;Ange det mängd som ska avrundas uppåt på materiallistan.;Należy określić kwotę do zaokrąglenia w górę na liście materiałów.;Angi mengden som skal avrundes på materiallisten. 
Step value;Stap waarde;Valeur de l'étape;Schrittwert;Stegvärde;Wartość kroku;Stegverdi
If a quantity is incremented, it is with steps of this value.;Als een hoeveelheid wordt verhoogd, gebeurt dit met stappen van deze waarde.;Si une quantité est incrémentée, c'est par paliers de cette valeur.;Wenn eine Menge erhöht wird, passiert dies in Schritten dieses Wertes.;Om en kvantitet ökas sker det med steg av detta värde.;Jeśli ilość jest zwiększana, jest to z krokami tej wartości.;Hvis en mengde økes, gjøres det stegvis av denne verdien.
Unit of measurement;Meet eenheid;Unité de mesure;Maßeinheit;Mätningsenhet;Jedostka miary;Måleenhet 
Unit which is used for the quantities.;Meet eenheid die wordt gebruikt voor hoeveelheden.;Unité qui est utilisée pour les quantités.;Maßeinheit die bei bestimmten Mengen genutzt wird.;Enhet som används för kvantiteten.;Jednosta, która jest używana do ilości;Enhet som brukes til kvantiteten. 
Price settings;Prijs instellingen;Paramètres de prix;Preiseinstellungen;Prisinställningar;Ustawienia cen;Pris innstillinger 
Disallow discount;Korting niet toestaan;Désactiver la remise;Rabatt nicht möglich;Avvisa rabatt;Brak zezwolenia na rabat;Ikke tillat rabatt 
Contact information;Contact informatie;Informations sur le contact;Kontakt Informationen;Kontaktuppgifter;Informacje kontaktowe;Kontaktinformasjon 
General info;Algemene informatie;Informations générales;Allgemeine Informationen;Allmän information;Informacje ogólne;Generell info 
Address;Adres;Adresse;Adresse;Adress;Adres;Adresse 
Business details;Zakelijke details;Informations commerciales;Geschäftsdetails;Affärsinformation;Szczegóły firmy;Forretningsdetaljer 
Contacts;Contacten;Contacts;Kontakte;Kontakter;Kontakty;Kontakter 
Company name;Bedrijfsnaam;Nom d'Enterprise;Firmenname;Företagets namn;Nazwa firmy;Firmanavn 
Company;Bedrijf;Enterprise;Firma;Företag;Firma;Firma 
Email;Email;Courriel;E-Mail;E-post;Email;E-post 
Quotation has been copied successfully. Would you like to open the new quotation?;Offerte is succesvol gekopieerd. Wilt u de nieuwe offerte openen?;Le devis a été copié avec succès. Voulez-vous ouvrir le nouveau devis ?;Angebot wurde erfolgreich kopiert. Wollen Sie das neue Angebot öffnen?;Offerten är korrekt kopierad. Vill du öppna den nya offerten?;Oferta została pomyślnie skopiowana. Czy chcesz otworzyć nową ofertę?;Tilbudet har blitt kopiert. Vil du åpne det nye tilbudet?
Relation Type;Relatie type;Type de relation;Art der Beziehung;Relationstyp;Typ relacji;Type relasjon 
Delivery Date;Leverdatum;Date de livraison;Lieferdatum;Leveransdatum;Termin dostawy;Leveringsdato 
Street;Straat;Rue;Strasse;Gata;Ulica;Gate 
House number;Huisnummer;Numéro de maison;Hausnummer;Husnummer;Numer domu;Husnummer 
Postal code;Postcode;Code postal;Postleitzahl;Postnummer;Kod pocztowy;Postnummer 
City;Stad;Ville;Stadt;Stad;Miasto;By 
Country;Land;Pays;Land;Land;Kraj;Land 
IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN 
CoC/KvK Number;CoC/KvK Nummer;Numéro CoC/KvK;Nummer der Handelskammer;CoC/KvK-nummer;Nr REGON ;CoC/KvK-nummer 
VAT/BTW Number;VAT/BTW Nummer;Numéro de TVA/BTW;Umsatzsteuer Identifikationsnummer (USt-ID);Moms/BTW-nummer;Nr VAT;MVA/BTW-nummer 
Transfer;Overdragen;Transfert;übertragen;Överföring;Przekaż;Overføre 
Copy;Kopiëren;Copie;kopieren;Kopia;Kopiuj;Kopi 
Delete;Verwijderen;Supprimer;entfernen / löschen;Radera;Usuń;Slette 
Accept;Accepteren;Accepter;Akzeptieren;Acceptera;Akcpetuj;Godta 
Decline;Weigeren;Refuser;ablehnen;Avslå;Oodrzuć;Avslå
Document;Document;Document;Dokument;Dokument;Dokument;Dokument 
Submit;Indienen;Soumettre;Einreichen;Skicka in;Prześlij;Send inn
Seller;Verkoper;Vendeur;Verkaüfer;Säljare;Sprzedawca;Selger 
Customer;Klant;Client;Kunde  ;Kund;Klient;Kunde 
Ship to;Verzend naar;Envoyer à;senden an;Skicka till;Wysyłka do;Send til 
Ship to customer;Verzend naar klant;Expédier au client;An den Kunden senden;Skicka till kunden;Wysylka do Klienta;Send til kunde 
Status;Status;Statut;Status;Status;Status;Status 
Details;Details;Détails;Details;Uppgifter;Szczegóły;Detaljer 
Language;Taal;Langue;Sprache;Språk;Język;Språk 
Currency;Valuta;Devise;Währung;Valuta;Waluta;Valuta 
Exchange rate;Wisselkoers;Taux de change;Wechselkurs;Växelkurs;Kurs wymiany;Valutakurs 
Delivery date;Bezorgdatum;Date de livraison;Lieferdatum;Leveransdatum;Termin zakończenia produkcji;Leveringsdato 
Expires Date;Vervalt datum;Date d'expiration;Verfällt am Datum / Verfallsdatum;Utgångsdatum;Data wygaśnięcia;Utløpsdato 
Template;Template;Modèle;Vorlage;Mall;Szablon;Mal 
Subject;Onderwerp;Sujet;Thema;Ämne;Temat;Tema 
Quotation reference;Offerte referentie;Référence du devis;Angebotsreferenz;Referens för offert;Nr Oferty;Referanse på tilbudet
Remarks;Opmerkingen;Remarques;Kommentare;Anmärkningar;Uwagi;Merknader 
Files;Bestanden;Fichiers;Dateien;Filer;Pliki;Filer 
Attach file;Bestand toevoegen;Joindre un fichier;Datei hinzufügen;Bifoga fil;Załącz plik;Legg ved fil 
Edit configuration;Configuratie aanpassen;Modifier la configuration;Konfiguration anpassen;Redigera konfigurationen;Edytuj konfigurację;Rediger konfigurasjon 
Actions;Acties;Actions;Handlungen;Åtgärder;Działania;Handlinger 
Total price excl. VAT;Totaalprijs exclusief BTW;Prix total hors TVA;Gesamtpreis inclusieve Mehrwertsteuer;Totalpris exkl. moms;Cena całkowita bez VAT;Totalpris ekskl. mva
Add product configuration;Configuratie toevoegen;Ajouter la configuration du produit;Konfiguration hinzufügen;Lägg till produktkonfiguration;Dodaj konfigurację produktu;Legge til produktkonfigurasjon 
Add existing feature;Bestaande feature toevoegen;Ajouter une fonctionnalité existante;Verfügbare Funktion hinzufügen;Lägg till befintlig funktion;Dodaj istniejące wyposażenie;Legg til eksisterende funksjon 
Discount;Korting;Remise;Rabatt  ;Rabatt;Rabat;Rabatt 
Organization;Organisatie;Organisation;Unternehmen;Organisation;Organizacja;Organisasjon 
Packing difference;Verpakkingsverschil;Différence d'emballage;Verpackungsunterschied;Skillnad i förpackning;Różnica w pakowaniu;Forskjell i forpakning
Subtotal cost price;Subtotale kostprijs;Sous-total prix de revient;Teilgesamtkosten;Totalsumma kostnadspris;Koszt własny dla sumy częściowej;Delsum kostpris
Purchase discount (wholesale);Inkoopkorting (staffelkorting);Remise sur achat (vente en gros);Einkaufsrabatt (Gruppenrabatt);Inköpsrabatt (grossist);Rabat na zakup (sprzedaż hurtowa);Kjøpsrabatt (engros) 
Total cost price;Totale kostprijs;Prix de revient total;Gesamtkosten;Totalt inköpspris;Całkowity koszt własny;Total kostpris 
Total margin;Totale marge;Marge totale;Gesamtmarge;Total marginal;Całkowita marża;Totalmargin 
Apply VAT;BTW toepassen;Appliquer la TVA;MwSt. anwenden;Ange moms;Zastosuj VAT;Angi merverdiavgift 
Edit group name;Groepsnaam aanpassen;Modifier le nom du groupe;Gruppenname anpassen;Redigera gruppnamn;Edytuj nazwę grupy;Redigere gruppenavn 
Subtotal;Subtotaal;Sous-total;Zwischensumme;Totalsumma;Suma częściowa;Delsum 
Assign new associated feature;Nieuwe associated feature toewijzen;Attribuer une nouvelle caractéristique associée;Neues zugehöriges Funktion zuweisen;Tilldela ny associerad funktion;Przypisywanie nowego, powiązanego wyposażenia;Tilordne ny tilknyttet funksjon 
or;of;ou;oder;Eller;lub;eller
Create new associated feature;Nieuwe associated feature maken;Créer une nouvelle caractéristique associée;Neues zugehöriges Funktion erstellen;Skapa en ny associerad funktion;Tworzenie nowego, powiązanego wyposażenia;Opprett ny tilknyttet funksjon 
Assign to features;Toewijzen aan features;Affecter à des caractéristiques;Funktionen zuordnen;Tilldela funktioner;Przypisanie do wyposażeń;Tilordne funksjoner 
Assign property to feature(s);Eigenschap toewijzen aan feature(s);Attribuer une propriété à une ou plusieurs caractéristiques;Eigenschaft zu Funktion(en) zuordnen;Tilldela egenskap till funktion(er);Przypisywanie opisu do wyposażenia;Tilordne egenskap til funksjon(er) 
Features with property;Features met eigenschap;Caractéristiques avec propriété;Funktionen mit Eigenschaft;Funktioner med egenskap;Wyposażenie z cechami;Funksjoner med egenskaper
Name;Naam;Nom;Name;Namn;Nazwa;Navn 
Type;Type;Type;Typ;Typ;Typ;Type
Input;Invoer;Entrée;Eingabe;Inmatning;Wkład;Innput
Associated features;Associated features;Caractéristiques associées;Zugehörige Funktionen;Tillhörande egenskaper;Wyposażenie powiązane;Tilknyttede funksjoner 
Text;Tekst;Texte;Text;Text;Tekst;Tekst 
Multi-line text;Multi-line tekst;Texte à plusieurs lignes;Mehrzeiliger Text;Text med flera rader;Tekst wielowierszowy;Tekst med flere linjer 
Number;Nummer;Nombre;Nummer;Antal;Numer;Nummer 
Toggle;Toggle;Basculer;Umschalten;Växla mellan;Przełącz;Veksle 
Date;Datum;Date;Datum;Datum;Data;Dato
Field select (dropdown);Veld selectie (dropdown);Sélection de champ (liste déroulante);Feldauswahl (Dropdown);Fältval ( dropdown);Wybór pola (lista rozwijana);Feltvalg (rullegardinliste) 
Code;Code;Code;Code;Kod;Kod;Kode 
Constraints;Constraints;Contraintes;Auflagen;Restriktioner;Ograniczenia;Begrensninger 
Preview changes;Preview wijzigingen;Prévisualiser les modifications;Vorschau Änderungen;Förhandsgranskning av ändringar;Podgląd zmian;Forhåndsvise endringer 
Add new feature;Nieuwe feature toevoegen;Ajouter une nouvelle fonctionnalité;Neue Funktion hinzufügen;Lägg till en ny funktion;Dodaj nowe wyposażenie;Legg til ny funksjon 
Add configuration model;Configuratie model toevoegen;Ajouter un modèle de configuration;Konfiguration hinzufügen;Lägg till en konfigurationsmodell;Dodaj model konfiguracji;Legge til konfigurasjonsmodell 
Add dynamic group;Dynamische groep toevoegen;Ajouter un groupe dynamique;Dynamische Gruppe hinzufügen;Lägg till en dynamisk grupp;Dodaj grupę dynamiczną;Legge til dynamisk gruppe 
Edit dynamic group;Dynamische groep bewerken;Modifier un groupe dynamique;Dynamische Gruppe ändern;Redigera en dynamisk grupp;Edytuj grupę dynamiczną;Redigere dynamisk gruppe 
Remove dynamic group;Dynamische groep verwijderen;Supprimer un groupe dynamique;Dynamische Gruppe entfernen;Ta bort en dynamisk grupp;Usuń grupę dynamiczną;Fjern dynamisk gruppe 
History;Geschiedenis;Historique;Verlauf;Historik;Historia;Historie 
Publish;Publiceren;Publier;Publizieren;Publicera;Opublikuj;Publisere
Legend;Legenda;Légende;Beschreibung;Legend;Legenda;Legende 
item(s) selected;geselecteerde item(s);élément(s) sélectionné(s);Element(e) ausgewählt;vald(a) artikel(er);wybrany/e obiekt/y;Element(er) valgt 
Deselect all;Deselecteer alles;Désélectionner tout;Alle abwählen;Avmarkera alla;Odznacz wszystko;Fjern merkingen av alle 
Change category;Wijzig categorie;Changer de catégorie;Kategorie ändern;Ändra kategori;Zmień kategorię;Endre kategori 
Change feature;Wijzig feature;Modifier la fonction;Funktion ändern;Ändra funktion;Zmień wyposażenie;Endre funksjon 
Highlight to constraints;Benadruk beperkingen van;Mettre en évidence les contraintes;Highlight zu Einschränkungen;Markera för restriktioner;Wyróżnienie ograniczeń;Fremhev til begrensninger 
Highlight from constraints;Benadrukken beperkingen naar;Mettre en évidence à partir des contraintes;Highlight aus Einschränkungen;Markera från restriktioner;Wyróżnienie z ograniczeń;Uthev fra begrensninger 
Edit type;Type bewerken;Type d'édition;Typ bearbeiten;Redigera typ;Typ edycji;Rediger type
Fields;Velden;Champs;Felder;Fält;Pola;Felt 
Add new field;Nieuw veld toevoegen;Ajouter un nouveau champ;Neues Feld hinzufügen;Lägg till ett nytt fält;Dodaj nowe pola;Legg til nytt felt 
Optional;Optioneel;Facultatif;Optional;Valfritt;Opcjonalny;Valgfri 
Mandatory;Verplicht;Obligatoire;Obligatorisch;Obligatoriskt;Obowiązkowe;Obligatorisk 
Alternative;Alternatief;Autre possibilité :;Alternativ;Alternativ;Alternatywnie;Alternativ 
Or;Of;Ou;Oder;Eller;lub ;Eller 
Hide in quotation;Verbergen in offerte;Cacher dans le devis;Im Angebot verbergen;Dölj i offert;Ukryj w ofercie;Skjul i tilbud
Hide in showroom;Verbergen in showroom;Masquer dans la salle d'exposition;Im Showroom verbergen;Dölj i showroom;Ukryj w showroom;Skjul i showroom 
Hide in order entry;Verbergen in orderinvoer;Masquer dans la saisie de la commande;Im Auftrag verbergen;Dölj i orderingången;Ukryj we wprowadzaniu zamówienia;Skjul for oppføring 
Paste;Plakken;Coller;Einfügen;Klistra in;Wklej;Lime inn 
Switch to configuration model;Schakel over naar het configuratiemodel;Passer au modèle de configuration;Zum Konfigurationsmodell wechseln;Växla till konfigurationsmodell;Przełącz na model konfiguracji;Bytt til konfigurasjonsmodell 
OR;OF;OU;OR;OR;LUB;ELLER
Showroom;Showroom;Salle d'exposition;Showroom;Showroom;Showroom;Showroom
Order Entry;Order Entry;Entrée des commandes;Auftragserfassung;Ingång av beställningar;Wprowadzenie zamówienia;Bestill registrering 
Restore;Herstellen;Restaurer;Wiederherstellen;Återställ;Przywróć;Gjenopprette 
Configuration model was last published at;Configuratiemodel is voor het laatst gepubliceerd op;Le modèle de configuration a été publié pour la dernière fois à l'adresse;Das Konfigurationsmodell wurde zeletzt veröffentlicht auf;Konfigurationsmodell publicerades senast på;Model konfiguracji został ostatnio opublikowany na stronie;Konfigurasjonsmodellen ble sist publisert på 
Content was last published at;Inhoud is voor het laatst gepubliceerd op;Le contenu a été publié pour la dernière fois à;Der Inhalt wurde zuletzt veröffentlicht auf;Innehållet publicerades senast på;Zawartość została ostatnio opublikowana na stronie;Innholdet ble sist publisert på 
Subcategories;Subcategorie;Sous-catégories;Subkategorien;Subkategorier;Podkategorie;Underkategorier 
Edit;Bewerk;Modifier;Bearbeiten;Redigera;Edytuj;Redigere 
Add subcategory;Subcategorie toevoegen;Ajouter une sous-catégorie;Subkategorie hinzufügen;Lägg till en subkategori;Dodaj podkategorię;Legg til underkategori 
Unassign;Toewijzing ongedaan maken;Désassigner;Zuweisung aufheben;Ta bort;Cofnij przypisanie;Fjern tilordning 
Unassign features;Toewijzing van features ongedaan maken;Désassigner des fonctionnalités;Zugewiesene Funktionen aufheben;Ta bort funktioner;Cofnij przypisanie wysposażenia;Oppheve funksjoner 
Assigned features;Toegewezen features;Fonctions assignées;Zugewiesene Funktionen;Tilldelade funktioner;Przypisane wyposażenie;Tilordnede funksjoner 
Assign features;Features toewijzen;Affecter des caractéristiques;Funktionen zuordnen;Tilldela funktioner;Przypisz wyposażenie;Tilordne funksjoner 
Order entry;Orderinvoer;Entrée de commande;Auftragseingang;Orderingång;Wprowadzanie zamówień;Bestill registrering 
Publish all; Publiceer alle linked modellen;Publier tout;Alles publizieren;Publicera alla;Publikuj wszystko;Publiser alle
Purchase Discount;Aankoopkorting;Remise sur achat;Einkaufsrabatt  ;Inköpsrabatt;Rabat od zakupu;Kjøpsrabatt 
Sellable;Verkoopbaar;Vendable;Verkaufbar;Säljbar;Sprzedawalne;Salgbar
Default margin;Standaardmarge;Marge par défaut;Standard marge;Standardmarginal;Domyślna marża;Standardmarg 
Showroom prices;Showroom prijzen;Prix de la salle d'exposition;Showroom-Preise;Priser i showroom;Cena showroom;Showroompriser 
Add image;Voeg afbeelding toe;Ajouter une image;Bild hinzufügen;Lägg till en bild;Dodaj obraz;Legg til bilde 
Edit step;Stap bewerken;Modifier l'étape;Schritt bearbeiten;Redigera steg;Edytuj krok;Rediger steg
Delete step;Stap verwijderen;Supprimer l'étape;Schritt löschen;Radera steg;Usuń krok;Slett steg
Move left;Ga naar links;Déplacer à gauche;Nach links verschieben;Flytta till vänster;Przesuń na lewo;Flytt til venstre 
Move right;Ga naar rechts;Déplacer vers la droite;Nach rechts verschieben;Flytta till höger;Przesuń na prawo;Flytte til høyre 
Features in step;Features in stap;Caractéristiques de l'étape;Funktionen im Schritt;Funktioner i steget;Wyposażenie w krokach;Funksjoner i steget
Add hotspot;Voeg hotspot toe;Ajouter un hotspot;Hotspot hinzufügen;Lägg till hotspot;Dodaj hotspot;Legg til hotspot 
Edit background;Achtergrond bewerken;Modifier l'arrière-plan;Hintergrund bearbeiten;Redigera bakgrund;Edytuj tło;Rediger bakgrunn 
Add new step;Voeg een nieuwe stap toe;Ajouter une nouvelle étape;Neuen Schritt hinzufügen;Lägg till ett nytt steg;Dodaj nowy krok;Legg til nytt steg
Click here to create a step;Klik hier om een stap te maken;Cliquez ici pour créer une étape;Klicken Sie hier, um einen Schritt zu erstellen;Klicka här för och skapa ett steg;Naciśnij tu aby stworzyć krok;Klikk her for å opprette et steg
Select a model from Autodesk storage;Selecteer een model uit Autodesk-opslag;Sélectionner un modèle à partir du stockage Autodesk;Wählen Sie ein Modell aus dem Autodesk-Speicher;Välj en modell från Autodesk-lagret;Wybierz model z magazynu Autodesk;Velg en modell fra Autodesk-lagring 
Cancel;Annuleren;Annuler;Abbrechen;Avbryt;Anuluj;Annullere 
Attachment nodes;Bevestigingsknooppunten;Nœuds d'attachement;Attachement-Knoten;Knutpunkter för bifogade objekt;Karty załączników;Vedlegg noder 
Rotation;Rotatie;Rotation;Drehung;Rotation;Obrót;Rotasjon 
Add attachment node;Voeg bevestigingsknooppunt toe;Ajouter un nœud d'attachement;Anhängeknoten hinzufügen;Lägg till en knutpunkt för bifogade filer;Dodawanie karty załącznika;Legg til vedleggsnode 
Upload a 3d model;Upload een 3D-model;Télécharger un modèle 3d;Hochladen eines 3D-modells;Ladda upp en 3d-modell;Prześlij model 3D;Laste opp en 3d-modell 
Drop a template file or click to browse;Zet een sjabloonbestand neer of klik om te bladeren;Déposez un fichier modèle ou cliquez pour le parcourir;Eine Vorlagendatei ablegen oder zum Durchsuchen klicken;Lägg ner en mallfil eller klicka för att bläddra;Zrzuć plik szablonu lub kliknij aby przeglądać;Slipp en malfil eller klikk for å bla gjennom 
Upload;Uploaden;Télécharger;Hochladen von;Ladda upp;Prześlij;Opplasting 
Download XML scheme;XML-schema downloaden;Télécharger un modèle XML;XML-Schema herunterladen;Ladda ner XML-schemat;Pobierz schemat XML;Last ned XML-skjema 
Download;Download;Télécharger;Herunterladen;Ladda ner;Pobierz;Last ned 
Default;Standaard;Défaut;Standard;Standard;Domyślny;Standard 
Allow all;Sta alles toe;Autoriser tout;Alle zulassen;Tillåt alla;Zezwalaj na wszystko;Tillat alle 
Order;Volgorde;Commande;Auftrag;Beställning;Zamówienie;Ordre
Publish All; Publiceer Alles;Publier tout;Alles Publizieren;Publicera alla;Publikuj wszystko;Publiser alle
Is required;Is benodigd;Est obligatoire;Ist erforderlich;Krävs;Jest wymagane;Er påkrevd 
